2022-08-20 07:54:03.502  INFO [,,] 9956 --- [restartedMain] c.c.PensionManagementPortalApplication   : Starting PensionManagementPortalApplication using Java 1.8.0_181 on LTIN264352 with PID 9956 (C:\Workspace\microservices\Pension-Management-Portal-Microservice\target\classes started by 889068 in C:\Workspace\microservices\Pension-Management-Portal-Microservice)
2022-08-20 07:54:03.642  INFO [,,] 9956 --- [restartedMain] c.c.PensionManagementPortalApplication   : No active profile set, falling back to default profiles: default
2022-08-20 07:54:03.919  INFO [,,] 9956 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-20 07:54:03.920  INFO [,,] 9956 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-20 07:54:10.705  INFO [,,] 9956 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-20 07:54:10.905  INFO [,,] 9956 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 66 ms. Found 0 JPA repository interfaces.
2022-08-20 07:54:13.618  INFO [,,] 9956 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=b6efebc2-bb64-3a73-b714-eba9624e96b9
2022-08-20 07:54:22.460  INFO [,,] 9956 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9085 (http)
2022-08-20 07:54:22.617  INFO [,,] 9956 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-20 07:54:22.722  INFO [,,] 9956 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-20 07:54:24.123  INFO [,,] 9956 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-08-20 07:54:24.127  INFO [,,] 9956 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 20205 ms
2022-08-20 07:54:24.664  INFO [,,] 9956 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-20 07:54:26.190  INFO [,,] 9956 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-20 07:54:26.344  INFO [,,] 9956 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:6819fa87-25b3-4c3a-9d9d-583bfeaf4b39'
2022-08-20 07:54:33.758  INFO [,,] 9956 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-20 07:54:34.198  INFO [,,] 9956 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-08-20 07:54:35.432  INFO [,,] 9956 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-08-20 07:54:36.573  INFO [,,] 9956 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-08-20 07:54:41.855  INFO [,,] 9956 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-08-20 07:54:41.960  INFO [,,] 9956 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-08-20 07:54:42.351  WARN [,,] 9956 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-08-20 07:54:43.565  WARN [,,] 9956 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-08-20 07:54:53.236  INFO [,,] 9956 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9085 (http) with context path ''
2022-08-20 07:54:54.478  INFO [,,] 9956 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-08-20 07:54:54.552  INFO [,,] 9956 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-08-20 07:54:54.594  INFO [,,] 9956 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-08-20 07:54:55.735  INFO [,,] 9956 --- [restartedMain] c.c.PensionManagementPortalApplication   : Started PensionManagementPortalApplication in 57.615 seconds (JVM running for 64.787)
2022-08-20 07:58:28.197  INFO [,,] 9956 --- [http-nio-9085-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-20 07:58:28.201  INFO [,,] 9956 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-08-20 07:58:28.210  INFO [,,] 9956 --- [http-nio-9085-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 8 ms
2022-08-20 07:58:28.945  INFO [,a0293f2bb5c818a5,a0293f2bb5c818a5] 9956 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - Registration
2022-08-20 07:58:30.111  INFO [,a0293f2bb5c818a5,a0293f2bb5c818a5] 9956 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : END - Registration
2022-08-20 07:58:48.107  INFO [,84e21a4e0a9e62bd,84e21a4e0a9e62bd] 9956 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : STARTED - doLogin
2022-08-20 07:58:50.905  INFO [,84e21a4e0a9e62bd,84e21a4e0a9e62bd] 9956 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : GENERATED - Token - eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJhYmMiLCJleHAiOjE2NjA5OTg1MjgsImlhdCI6MTY2MDk2MjUyOH0.KvJ4WnkZG3fDEH7fPD80D55QuePBWHr9BoBuW_2gSc8
2022-08-20 07:58:50.910  INFO [,84e21a4e0a9e62bd,84e21a4e0a9e62bd] 9956 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : END - doLogin
2022-08-20 07:58:51.148  INFO [,1b5d4a36b7bbc055,1b5d4a36b7bbc055] 9956 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : STARTED - allDetail
2022-08-20 07:58:53.366  INFO [,1b5d4a36b7bbc055,1b5d4a36b7bbc055] 9956 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : END - allDetail
2022-08-20 08:02:11.239  INFO [,3d01aca93d11a711,3d01aca93d11a711] 9956 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:11.932  INFO [,3d01aca93d11a711,3d01aca93d11a711] 9956 --- [http-nio-9085-exec-9] c.c.controller.PensionController         : END - getPensionDetail
2022-08-20 08:02:17.911  INFO [,8cfd3dea70870173,8cfd3dea70870173] 9956 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:18.050  INFO [,8cfd3dea70870173,8cfd3dea70870173] 9956 --- [http-nio-9085-exec-1] c.c.controller.PensionController         : END - getPensionDetail
2022-08-20 08:02:23.920  INFO [,6dc61a6ad4c31d6c,6dc61a6ad4c31d6c] 9956 --- [http-nio-9085-exec-2] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:24.557  WARN [,6dc61a6ad4c31d6c,6dc61a6ad4c31d6c] 9956 --- [http-nio-9085-exec-2] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:02:24.840  INFO [,ea5842c59f2ca356,ea5842c59f2ca356] 9956 --- [http-nio-9085-exec-4] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:25.022  INFO [,08a0927a427e09e6,08a0927a427e09e6] 9956 --- [http-nio-9085-exec-3] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:25.060  WARN [,ea5842c59f2ca356,ea5842c59f2ca356] 9956 --- [http-nio-9085-exec-4] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:02:25.220  WARN [,08a0927a427e09e6,08a0927a427e09e6] 9956 --- [http-nio-9085-exec-3] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:02:25.372  INFO [,2f2f091d42b1c593,2f2f091d42b1c593] 9956 --- [http-nio-9085-exec-5] c.c.controller.PensionController         : STARTED - getPensionDetail
2022-08-20 08:02:25.523  WARN [,2f2f091d42b1c593,2f2f091d42b1c593] 9956 --- [http-nio-9085-exec-5] .w.s.m.a.ResponseStatusExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFoundException: Pensioner details list not found]
2022-08-20 08:02:40.039  INFO [,4577cebaf6e3876c,4577cebaf6e3876c] 9956 --- [http-nio-9085-exec-6] c.c.controller.PensionController         : STARTED - getPensionDetail
